name,muscle_group,equipment,type,level,goal,sets,reps,duration
Jumping Jacks,full_body,bodyweight,warmup,all,fat_loss,1,30,2 min
High Knees,cardio,resistance_band,warmup,all,fat_loss,1,30,1 min
Arm Circles,shoulders,bodyweight,warmup,all,all,2,15,1 min
Mountain Climbers,core,bodyweight,warmup,intermediate,fat_loss,2,20,30 sec

Push-up,chest,bodyweight,main,beginner,muscle_gain,3,12,1 min
Dumbbell Chest Press,chest,dumbbell,main,intermediate,muscle_gain,3,10,1 min
Incline Bench Press,chest,bench,main,intermediate,muscle_gain,4,8,1 min
Resistance Band Chest Fly,chest,resistance_band,main,beginner,muscle_gain,3,12,1 min

Bent Over Row,back,dumbbell,main,intermediate,muscle_gain,3,10,1 min
Resistance Band Row,back,resistance_band,main,intermediate,muscle_gain,3,12,1 min
Superman Hold,back,bodyweight,main,beginner,all,3,15,30 sec
Banded Lateral Walk,legs,resistance_band,main,intermediate,fat_loss,3,12,30 sec

Bodyweight Squat,legs,bodyweight,main,beginner,general_fitness,3,15,1 min
Goblet Squat,legs,dumbbell,main,intermediate,muscle_gain,3,12,1 min
Lunges,legs,bodyweight,main,all,all,3,12,1 min
Glute Bridge,glutes,bodyweight,main,beginner,muscle_gain,3,15,1 min

Plank,core,bodyweight,core,beginner,general_fitness,3,1,30 sec
Side Plank,core,bodyweight,core,intermediate,general_fitness,3,1,30 sec each side
Russian Twists,core,bodyweight,core,intermediate,fat_loss,3,1,45 sec
Bicycle Crunches,core,bodyweight,core,intermediate,fat_loss,3,1,45 sec

Child’s Pose,back,none,cooldown,all,all,1,1,1 min
Chest Stretch,chest,none,cooldown,all,all,1,1,30 sec each side
Hamstring Stretch,legs,none,cooldown,all,all,1,1,30 sec each leg
Cat-Cow Stretch,back,none,cooldown,all,all,1,1,1 min
